receiving_country,year,confucius_institutes,sister_cities_established,government_visits,military_visits,total_elite_visits,ambassador_op_eds,journalist_visits,media_partnerships,outbound_chinese_students,inbound_students_to_china
Australia,2000,0,8,46,8,54,0,0,0,5008,0
Australia,2001,0,1,49,5,54,0,0,0,0,0
Australia,2002,0,1,15,3,18,0,0,0,17343,1001
Australia,2003,0,5,13,6,19,0,0,0,23448,918
Australia,2004,0,3,9,4,13,0,0,2,28309,1159
Australia,2005,0,3,20,4,24,0,0,0,37344,1591
Australia,2006,1,4,14,1,15,0,0,0,42008,1420
Australia,2007,2,4,7,4,11,0,0,0,50418,1464
Australia,2008,1,3,21,1,22,0,0,0,57596,2083
Australia,2009,2,3,23,4,27,0,0,0,70357,1874
Australia,2010,2,0,18,4,22,0,0,0,87588,2892
Australia,2011,4,4,25,5,30,0,0,2,90175,3330
Australia,2012,1,6,21,5,26,0,0,0,87497,3246
Australia,2013,0,4,16,5,21,2,0,0,87980,3446
Australia,2014,0,4,13,9,22,2,0,0,90245,4721
Australia,2015,1,5,9,3,12,3,0,0,97387,4411
Australia,2016,0,5,0,0,0,2,0,0,112329,4796
Brunei,2000,0,0,4,0,4,0,0,0,13,0
Brunei,2001,0,0,14,0,14,0,0,0,0,0
Brunei,2002,0,0,7,1,8,0,0,0,0,4
Brunei,2003,0,0,3,1,4,0,0,0,0,4
Brunei,2004,0,0,7,2,9,0,0,0,3,6
Brunei,2005,0,0,3,0,3,0,1,0,6,7
Brunei,2006,0,0,11,0,11,0,0,0,5,10
Brunei,2007,0,0,3,1,4,0,0,0,5,13
Brunei,2008,0,0,6,2,8,0,0,0,7,36
Brunei,2009,0,0,6,3,9,0,1,0,13,22
Brunei,2010,0,0,6,0,6,1,0,0,7,31
Brunei,2011,0,1,5,2,7,0,0,0,1,36
Brunei,2012,0,0,5,1,6,0,0,0,4,44
Brunei,2013,0,0,6,0,6,0,0,0,0,29
Brunei,2014,0,0,3,1,4,1,0,0,14,87
Brunei,2015,0,0,5,0,5,1,0,0,3,62
Brunei,2016,0,0,0,0,0,0,0,0,1,70
Cambodia,2000,0,0,14,3,17,0,0,0,0,0
Cambodia,2001,0,0,17,1,18,0,0,0,3,0
Cambodia,2002,0,0,2,1,3,0,0,0,20,151
Cambodia,2003,0,0,5,1,6,0,0,0,0,139
Cambodia,2004,0,0,7,2,9,0,0,0,0,180
Cambodia,2005,0,0,26,0,26,0,1,0,0,188
Cambodia,2006,0,1,15,1,16,0,0,0,0,221
Cambodia,2007,0,3,14,2,16,0,0,0,0,225
Cambodia,2008,0,2,10,2,12,0,1,0,0,299
Cambodia,2009,1,1,14,1,15,0,1,0,0,406
Cambodia,2010,0,1,14,2,16,0,0,0,0,502
Cambodia,2011,0,2,11,0,11,0,0,0,0,775
Cambodia,2012,0,0,14,1,15,0,1,0,0,1336
Cambodia,2013,0,1,8,2,10,0,0,0,0,1390
Cambodia,2014,0,4,10,0,10,1,0,1,0,1446
Cambodia,2015,0,0,16,0,16,0,0,0,0,1829
Cambodia,2016,0,3,0,0,0,0,0,2,0,2250
Fiji,2000,0,0,4,3,7,0,0,0,0,0
