iso,year,total_foreign_debt,total_debt_GDP,GDP_percapita
ABW,2008,NA,NA,27084.7036903653
ABW,2012,NA,NA,24713.6980451285
ABW,2017,NA,NA,25630.2664922069
AFG,2008,NA,NA,364.660465388571
AFG,2012,NA,NA,641.872033785411
AFG,2017,NA,NA,556.302138508508
AGO,2008,15.502,17.509,4080.94140992346
AGO,2012,21.1069,16.483,5100.09580809767
AGO,2017,37.2024,30.463,4095.81294155857
AIA,2008,NA,NA,NA
AIA,2012,NA,NA,NA
AIA,2017,NA,NA,NA
ALB,2008,4.2381,32.901,4370.5399247769
ALB,2012,7.1761,58.248,4247.61434236292
ALB,2017,9.1146,69.978,4532.88919785143
AND,2008,NA,NA,47785.089272664
AND,2012,NA,NA,38392.9439012206
AND,2017,NA,NA,39134.3933706717
ANS,2008,NA,NA,NA
ANS,2012,NA,NA,NA
ANS,2017,NA,NA,NA
ANT,2008,NA,NA,NA
ANT,2012,NA,NA,NA
ANT,2017,NA,NA,NA
ARB,2008,NA,NA,6143.17015159949
ARB,2012,NA,NA,7503.17418436682
ARB,2017,NA,NA,6284.73772306094
ARE,2008,140.850803,44.1,44498.9342301633
ARE,2012,169.838419,45.3,40976.4997112455
ARE,2017,242.330763,64.2,40325.3820005643
ARG,2008,129.7522,35.516,9020.87309807194
ARG,2012,136.543,23.483,13082.664325572
ARG,2017,228.985224,35.6,14591.8633810541
ARM,2008,3.613,28.184,4010.85724255226
ARM,2012,7.6408,69.805,3681.8574560431
ARM,2017,10.3351,89.656,3914.5012684128
ASM,2008,NA,NA,9792.66680581646
ASM,2012,NA,NA,11568.7930012395
ASM,2017,NA,NA,11398.7774181949
ATA,2008,NA,NA,NA
ATA,2012,NA,NA,NA
ATA,2017,NA,NA,NA
ATF,2008,NA,NA,NA
ATF,2012,NA,NA,NA
ATF,2017,NA,NA,NA
ATG,2008,NA,NA,16024.3455512142
ATG,2012,NA,NA,13399.2379486965
ATG,2017,NA,NA,15824.6678131824
AUS,2008,900.423,85.602,49601.6567082178
AUS,2012,1536.664,97.9,68012.1479005934
AUS,2017,1664.261,119.995,54093.6021908944
AUT,2008,NA,NA,51708.7657541758
AUT,2012,NA,NA,48567.69528642
AUT,2017,NA,NA,47380.8296365374
AZE,2008,4.497,9.206,5574.60380218613
AZE,2012,10.9179,15.669,7496.29464768263
AZE,2017,15.2534,37.433,4147.08971569171
BANG,2008,NA,NA,NA
BANG,2012,NA,NA,NA
BANG,2017,NA,NA,NA
BDI,2008,1.3903,86.256,198.352900555063
BDI,2012,0.6674,28.603,252.358979858344
BDI,2017,0.6135,19.339,293.009061990821
BEL,2008,NA,NA,48424.5755963147
BEL,2012,NA,NA,44826.4396116648
BEL,2017,NA,NA,43507.2382031326
BEN,2008,0.9743,13.672,820.150878301122
BEN,2012,2.0596,25.263,837.942920903364
BEN,2017,2.8971,31.328,827.429810110093
BES,2008,NA,NA,NA
BES,2012,NA,NA,NA
BES,2017,NA,NA,NA
BFA,2008,1.5832,18.933,569.761317206588
BFA,2012,2.5192,22.561,673.821598361542
BFA,2017,3.1193,25.31,642.040426480339
BGD,2008,23.4079,25.546,634.987056467494
BGD,2012,28.5588,21.415,883.105000541313
BGD,2017,47.1545,18.884,1563.99408178663
BGD_Chit,2008,NA,NA,NA
BGD_Chit,2012,NA,NA,NA
BGD_Chit,2017,NA,NA,NA
BGR,2008,53.065,97.532,7261.75449200277
BGR,2012,51.2889,95.153,7378.02473005713
BGR,2017,40.4383,69.455,8228.0115697265
BHR,2008,63.54455,247.2,23066.509898321
BHR,2012,38.724743,125.9,23654.3513912828
BHR,2017,52.144298,147.2,23715.4827473156
BHS,2008,NA,NA,30627.2386311725
BHS,2012,NA,NA,29485.6209294138
BHS,2017,NA,NA,31857.890145929
BIH,2008,13.1086,66.836,5090.93234464687
BIH,2012,14.1204,77.979,4778.63608845506
BIH,2017,14.4951,77.373,5394.59122017677
BLM,2008,NA,NA,NA
BLM,2012,NA,NA,NA
BLM,2017,NA,NA,NA
BLR,2008,15.1529,25.095,6377.36973201232
BLR,2012,33.7557,51.356,6940.15925359735
BLR,2017,39.5842,72.709,5761.74712023007
BLZ,2008,1.2749,93.15,4460.63414411566
