,country,distance
1,Andorra,8300
2,United Arab Emirates,5001
3,Afghanistan,3315
4,Antigua and Barbuda,13948
5,Anguilla,13854
6,Albania,7041
7,Armenia,5111
8,Angola,10408
9,Antarctica,14373
10,Argentina,18899
11,American Samoa,10504
12,Austria,7137
13,Australia,7474
14,Aruba,14600
15,Aland Islands,6309
16,Azerbaijan,4900
17,Bosnia and Herzegovina,7092
18,Barbados,14299
19,Bangladesh,1898
20,Belgium,7627
21,Burkina Faso,10587
22,Bulgaria,6568
23,Bahrain,5164
24,Burundi,8824
25,Benin,10453
26,Saint Barthelemy,13883
27,Bermuda,12348
28,Brunei,3647
29,Bolivia,17525
30,"Bonaire, Saint Eustatius and Saba",14614
31,Brazil,16633
32,Bahamas,13242
33,Bhutan,1596
34,Bouvet Island,13830
35,Botswana,10557
36,Belarus,6016
37,Canada,9386
38,Cocos Islands,5397
39,"Congo, Dem. Rep.",9592
40,Central African Republic,8971
41,"Congo, Rep.",9875
42,Switzerland,7596
43,Cote d’Ivoire,11255
44,Cook Islands,11892
45,Chile,19630
46,Cameroon,9693
47,Colombia,15516
48,Costa Rica,14875
49,Cuba,13631
50,Cape Verde,12128
51,Curacao,14626
52,Christmas Island,5152
53,Cyprus,6256
54,Czech Republic,6968
55,Germany,7224
56,Denmark,7031
57,Dominica,14114
58,Dominican Republic,13915
59,Algeria,9241
60,Ecuador,16223
61,Estonia,6071
62,Egypt,6883
63,Western Sahara,10621
64,Eritrea,6736
65,Spain,8788
66,Ethiopia,7051
67,Finland,5961
68,Fiji,9777
69,Falkland Islands,17825
70,Micronesia,6351
71,Faroe Islands,7529
72,France,8022
73,Gabon,10293
74,United Kingdom,7780
75,Grenada,14478
76,French Guiana,15000
77,Guernsey,8112
78,Ghana,10836
79,Gibraltar,9199
80,Greenland,7774
81,Gambia,11631
82,Guinea,11435
83,Equatorial Guinea,10254
84,Greece,7014
85,South Georgia and the South Sandwich Islands,16382
86,Guam,4750
87,Guinea-Bissau,11745
88,Guyana,15157
89,Hong Kong,1778
90,Heard Island and McDonald Islands,10325
91,Honduras,14232
92,Croatia,7211
93,Haiti,13907
94,Hungary,6814
95,Indonesia,4198
96,Ireland,8160
97,Israel,6320
98,Isle of Man,7911
99,India,2984
100,British Indian Ocean Territory,5839
101,Iraq,5460
102,Iran,4612
103,Iceland,7778
104,Italy,7566
105,Jersey,8101
106,Jamaica,14012
107,Jordan,6221
108,Japan,3047
109,Kenya,7894
110,Kyrgyz Republic,2614
111,Cambodia,2592
112,Kiribati,10644
113,Comoros,8277
114,Saint Kitts and Nevis,13941
115,North Korea,2093
116,South Korea,2118
117,Kosovo,6917
118,Kuwait,5290
119,Cayman Islands,13853
120,Kazakhstan,3325
121,Laos,1787
122,Lebanon,6106
123,Liechtenstein,7489
124,Sri Lanka,3917
125,Liberia,11664
126,Lesotho,10765
127,Lithuania,6230
128,Latvia,6138
129,Libya,8078
130,Morocco,9634
131,Monaco,7824
132,Moldova,6177
133,Montenegro,7026
134,Saint Martin,13868
135,Madagascar,8557
136,Marshall Islands,6662
137,"Macedonia, FYR",6900
138,Mali,10418
139,Myanmar,1744
140,Mongolia,1224
141,Macao,1768
142,Northern Mariana Islands,4711
143,Mauritania,10718
144,Montserrat,13993
145,Malta,7757
146,Mauritius,7946
147,Maldives,4915
