country,distance,mileage
Distance from Andorra to China,"8,300 km","5,157 miles"
Distance from United Arab Emirates to China,"5,001 km","3,107 miles"
Distance from Afghanistan to China,"3,315 km","2,060 miles"
Distance from Antigua and Barbuda to China,"13,948 km","8,667 miles"
Distance from Anguilla to China,"13,854 km","8,608 miles"
Distance from Albania to China,"7,041 km","4,375 miles"
Distance from Armenia to China,"5,111 km","3,176 miles"
Distance from Angola to China,"10,408 km","6,467 miles"
Distance from Antarctica to China,"14,373 km","8,931 miles"
Distance from Argentina to China,"18,899 km","11,743 miles"
Distance from American Samoa to China,"10,504 km","6,527 miles"
Distance from Austria to China,"7,137 km","4,435 miles"
Distance from Australia to China,"7,474 km","4,644 miles"
Distance from Aruba to China,"14,600 km","9,072 miles"
Distance from Aland Islands to China,"6,309 km","3,920 miles"
Distance from Azerbaijan to China,"4,900 km","3,045 miles"
Distance from Bosnia and Herzegovina to China,"7,092 km","4,407 miles"
Distance from Barbados to China,"14,299 km","8,885 miles"
Distance from Bangladesh to China,"1,898 km","1,179 miles"
Distance from Belgium to China,"7,627 km","4,739 miles"
Distance from Burkina Faso to China,"10,587 km","6,578 miles"
Distance from Bulgaria to China,"6,568 km","4,081 miles"
Distance from Bahrain to China,"5,164 km","3,209 miles"
Distance from Burundi to China,"8,824 km","5,483 miles"
Distance from Benin to China,"10,453 km","6,495 miles"
Distance from Saint Barthelemy to China,"13,883 km","8,626 miles"
Distance from Bermuda to China,"12,348 km","7,673 miles"
Distance from Brunei to China,"3,647 km","2,266 miles"
Distance from Bolivia to China,"17,525 km","10,890 miles"
"Distance from Bonaire, Saint Eustatius and Saba to China","14,614 km","9,081 miles"
Distance from Brazil to China,"16,633 km","10,335 miles"
Distance from Bahamas to China,"13,242 km","8,228 miles"
Distance from Bhutan to China,"1,596 km",992 miles
Distance from Bouvet Island to China,"13,830 km","8,594 miles"
Distance from Botswana to China,"10,557 km","6,560 miles"
Distance from Belarus to China,"6,016 km","3,738 miles"
Distance from Canada to China,"9,386 km","5,832 miles"
Distance from Cocos Islands to China,"5,397 km","3,354 miles"
Distance from Democratic Republic of the Congo to China,"9,592 km","5,960 miles"
Distance from Central African Republic to China,"8,971 km","5,574 miles"
Distance from Republic of the Congo to China,"9,875 km","6,136 miles"
Distance from Switzerland to China,"7,596 km","4,720 miles"
Distance from Ivory Coast to China,"11,255 km","6,994 miles"
Distance from Cook Islands to China,"11,892 km","7,389 miles"
Distance from Chile to China,"19,630 km","12,198 miles"
Distance from Cameroon to China,"9,693 km","6,023 miles"
Distance from China to Colombia,"15,516 km","9,641 miles"
Distance from China to Costa Rica,"14,875 km","9,243 miles"
Distance from China to Cuba,"13,631 km","8,470 miles"
Distance from China to Cape Verde,"12,128 km","7,536 miles"
Distance from China to Curacao,"14,626 km","9,088 miles"
Distance from China to Christmas Island,"5,152 km","3,201 miles"
Distance from China to Cyprus,"6,256 km","3,887 miles"
Distance from China to Czech Republic,"6,968 km","4,330 miles"
Distance from China to Germany,"7,224 km","4,489 miles"
Distance from China to Denmark,"7,031 km","4,369 miles"
Distance from China to Dominica,"14,114 km","8,770 miles"
