Position,code,recommendations,country,theme_code,description
Supported,186.28.,Continue its efforts on the ratification of other human rights instruments and relevant protocols ,Mongolia,A12,Acceptance of international norms
Supported,186.28.,Continue its efforts on the ratification of other human rights instruments and relevant protocols ,Mongolia,B51,Right to an effective remedyAffected persons:- general
Noted,186.20.,Ratify the Rome Statute of the ICC and the Agreement on the Privileges and Immunities of the Court ,Estonia,A12,Acceptance of international norms
Noted,186.20.,Ratify the Rome Statute of the ICC and the Agreement on the Privileges and Immunities of the Court ,Estonia,B51,Right to an effective remedy
Noted,186.20.,Ratify the Rome Statute of the ICC and the Agreement on the Privileges and Immunities of the Court ,Estonia,B11,International humanitarian lawAffected persons:- general
Supported,186.27.,Explore options to accede to the Rome Statute of the ICC ,Latvia,A12,Acceptance of international norms
Supported,186.27.,Explore options to accede to the Rome Statute of the ICC ,Latvia,B51,Right to an effective remedy
Supported,186.27.,Explore options to accede to the Rome Statute of the ICC ,Latvia,B11,International humanitarian lawAffected persons:- general
Supported,186.30.,Consider the possibility of acceding to the Rome Statute of the ICC as well as its Agreement on Privileges and Immunities ,Uruguay,A12,Acceptance of international norms
Supported,186.30.,Consider the possibility of acceding to the Rome Statute of the ICC as well as its Agreement on Privileges and Immunities ,Uruguay,B51,Right to an effective remedy
Supported,186.30.,Consider the possibility of acceding to the Rome Statute of the ICC as well as its Agreement on Privileges and Immunities ,Uruguay,B11,International humanitarian lawAffected persons:- general
Supported,186.31.,Consider the possibility of acceding to the CPED and recognize the competence of its Committee ,Uruguay,A12,Acceptance of international norms
Supported,186.31.,Consider the possibility of acceding to the CPED and recognize the competence of its Committee ,Uruguay,B51,Right to an effective remedy
Supported,186.31.,Consider the possibility of acceding to the CPED and recognize the competence of its Committee ,Uruguay,D32,Enforced disappearancesAffected persons:- disappeared persons
Noted,186.23.,"Continue efforts to ratify the OP-CAT and CPED, as well as the main international human rights instruments to which the country i s not yet a party ",Argentina,A12,Acceptance of international norms
Noted,186.23.,"Continue efforts to ratify the OP-CAT and CPED, as well as the main international human rights instruments to which the country i s not yet a party ",Argentina,B51,Right to an effective remedy
Noted,186.23.,"Continue efforts to ratify the OP-CAT and CPED, as well as the main international human rights instruments to which the country i s not yet a party ",Argentina,D32,Enforced disappearances
Noted,186.23.,"Continue efforts to ratify the OP-CAT and CPED, as well as the main international human rights instruments to which the country i s not yet a party ",Argentina,A41,Constitutional and legislative framework
Noted,186.23.,"Continue efforts to ratify the OP-CAT and CPED, as well as the main international human rights instruments to which the country i s not yet a party ",Argentina,D25,"Prohibition of torture and cruel, inhuman or degrading treatmentAffected persons:- disappeared persons- general- persons deprived of their liberty"
Noted,186.23., Ratify the CPED and reform the Criminal Procedure Code with a view to guaranteeing the rights of those deprived of their liberty ,France,A12,Acceptance of international norms
Noted,186.23., Ratify the CPED and reform the Criminal Procedure Code with a view to guaranteeing the rights of those deprived of their liberty ,France,B51,Right to an effective remedy
Noted,186.23., Ratify the CPED and reform the Criminal Procedure Code with a view to guaranteeing the rights of those deprived of their liberty ,France,D32,Enforced disappearances
Noted,186.23., Ratify the CPED and reform the Criminal Procedure Code with a view to guaranteeing the rights of those deprived of their liberty ,France,A41,Constitutional and legislative framework
Noted,186.23., Ratify the CPED and reform the Criminal Procedure Code with a view to guaranteeing the rights of those deprived of their liberty ,France,D25,"Prohibition of torture and cruel, inhuman or degrading treatmentAffected persons:- disappeared persons- general- persons deprived of their liberty"
Noted,186.16.,"Ratify the CPED, OP-CAT as well as the Rome Statute ",Tunisia,A12,Acceptance of international norms
