position,code,recommendations,country,theme_code,description
Supported,28.212,"Continue its legislative, judicial and administrative reforms to prepare for accession to the International Covenant on Economic, Social and Cultural Rights ",Tunisia,A12,Acceptance of international norms
Supported,28.212,"Continue its legislative, judicial and administrative reforms to prepare for accession to the International Covenant on Economic, Social and Cultural Rights ",Tunisia,A41,Constitutional and legislative framework
Supported,28.212,"Continue its legislative, judicial and administrative reforms to prepare for accession to the International Covenant on Economic, Social and Cultural Rights ",Tunisia,E1,"Economic, social & cultural rights - general measures of implementation"
Supported,28.212,"Continue its legislative, judicial and administrative reforms to prepare for accession to the International Covenant on Economic, Social and Cultural Rights ",Tunisia,S16,"SDG 16 - peace, justice and strong institutionsAffected persons:- general"
Supported,28.219,Continue advancing administrative and judicial reforms in preparation for the ratification of the International Covenant on Civil and Political Rights ,Greece,A12,Acceptance of international norms
Supported,28.219,Continue advancing administrative and judicial reforms in preparation for the ratification of the International Covenant on Civil and Political Rights ,Greece,D1,Civil & political rights - general measures of implementation
Supported,28.219,Continue advancing administrative and judicial reforms in preparation for the ratification of the International Covenant on Civil and Political Rights ,Greece,D51,Administration of justice & fair trial
Supported,28.219,Continue advancing administrative and judicial reforms in preparation for the ratification of the International Covenant on Civil and Political Rights ,Greece,S16,"SDG 16 - peace, justice and strong institutionsAffected persons:- general- judges, lawyers and prosecutors"
Supported,28.4,Continue working towards ratification of the International Covenant on Civil and Political Rights by the earliest possible date ,New Zealand,A12,Acceptance of international norms
Supported,28.4,Continue working towards ratification of the International Covenant on Civil and Political Rights by the earliest possible date ,New Zealand,D1,Civil & political rights - general measures of implementation
Supported,28.4,Continue working towards ratification of the International Covenant on Civil and Political Rights by the earliest possible date ,New Zealand,S16,"SDG 16 - peace, justice and strong institutionsAffected persons:- general"
Supported,28.4, Accelerate the ratification of the International Covenant on Civil and Political Rights  (Mali),Uruguay,A12,Acceptance of international norms
Supported,28.4, Accelerate the ratification of the International Covenant on Civil and Political Rights  (Mali),Uruguay,D1,Civil & political rights - general measures of implementation
Supported,28.4, Accelerate the ratification of the International Covenant on Civil and Political Rights  (Mali),Uruguay,S16,"SDG 16 - peace, justice and strong institutionsAffected persons:- general"
Supported,28.9,Continue its actions and initiatives aiming at the ratification of the International Covenant on Civil and Political Rights ,Benin,A12,Acceptance of international norms
Supported,28.9,Continue its actions and initiatives aiming at the ratification of the International Covenant on Civil and Political Rights ,Benin,D1,Civil & political rights - general measures of implementation
Supported,28.9,Continue its actions and initiatives aiming at the ratification of the International Covenant on Civil and Political Rights ,Benin,S16,"SDG 16 - peace, justice and strong institutionsAffected persons:- general"
Supported,28.9, Take meaningful steps towards ratification of the International Covenant on Civil and Political Rights ,Estonia,A12,Acceptance of international norms
Supported,28.9, Take meaningful steps towards ratification of the International Covenant on Civil and Political Rights ,Estonia,D1,Civil & political rights - general measures of implementation
Supported,28.9, Take meaningful steps towards ratification of the International Covenant on Civil and Political Rights ,Estonia,S16,"SDG 16 - peace, justice and strong institutionsAffected persons:- general"
Supported,28.9, Further advance the preparation for the ratification of the International Covenant on Civil and Political Rights ,Georgia,A12,Acceptance of international norms
Supported,28.9, Further advance the preparation for the ratification of the International Covenant on Civil and Political Rights ,Georgia,D1,Civil & political rights - general measures of implementation
Supported,28.9, Further advance the preparation for the ratification of the International Covenant on Civil and Political Rights ,Georgia,S16,"SDG 16 - peace, justice and strong institutionsAffected persons:- general"
Supported,28.9," As previously recommended, continue national reforms with an aim to ratify the International Covenant on Civil and Political Rights ",Latvia,A12,Acceptance of international norms
Supported,28.9," As previously recommended, continue national reforms with an aim to ratify the International Covenant on Civil and Political Rights ",Latvia,D1,Civil & political rights - general measures of implementation
Supported,28.9," As previously recommended, continue national reforms with an aim to ratify the International Covenant on Civil and Political Rights ",Latvia,S16,"SDG 16 - peace, justice and strong institutionsAffected persons:- general"
Supported,28.9, Continue taking steps towards an early ratification of the International Covenant on Civil and Political Rights ,Malta,A12,Acceptance of international norms
Supported,28.9, Continue taking steps towards an early ratification of the International Covenant on Civil and Political Rights ,Malta,D1,Civil & political rights - general measures of implementation
